iter	Passed	Remaining
854	2917	494
855	2920	491
856	2923	487
857	2926	484
858	2929	480
859	2933	477
860	2936	474
861	2939	470
862	2943	467
863	2946	463
864	2949	460
865	2952	456
866	2955	453
867	2959	449
868	2963	446
869	2966	443
870	2970	439
871	2974	436
872	2977	433
873	2980	429
874	2983	426
875	2987	422
876	2990	419
877	2993	415
878	2996	412
879	2999	409
880	3002	405
881	3006	402
882	3010	398
883	3013	395
884	3016	391
885	3019	388
886	3022	385
887	3026	381
888	3029	378
889	3032	374
890	3035	371
891	3038	367
892	3041	364
893	3044	361
894	3048	357
895	3051	354
896	3054	350
897	3057	347
898	3060	343
899	3063	340
900	3067	337
901	3070	333
902	3073	330
903	3076	326
904	3080	323
905	3083	319
906	3086	316
907	3090	313
908	3093	309
909	3096	306
910	3099	302
911	3102	299
912	3106	295
913	3109	292
914	3112	289
915	3115	285
916	3118	282
917	3121	278
918	3124	275
919	3128	272
920	3131	268
921	3134	265
922	3137	261
923	3141	258
924	3145	255
925	3148	251
926	3151	248
927	3155	244
928	3158	241
929	3162	238
930	3166	234
931	3170	231
932	3174	227
933	3178	224
934	3182	221
935	3185	217
936	3188	214
937	3192	210
938	3195	207
939	3198	204
940	3201	200
941	3205	197
942	3208	193
943	3211	190
944	3215	187
945	3218	183
946	3221	180
947	3224	176
948	3227	173
949	3231	170
950	3234	166
951	3238	163
952	3241	159
953	3244	156
954	3247	153
955	3250	149
956	3253	146
957	3257	142
958	3261	139
959	3264	136
960	3267	132
961	3270	129
962	3274	125
963	3277	122
964	3280	118
965	3283	115
966	3286	112
967	3290	108
968	3293	105
969	3296	101
970	3299	98
971	3302	95
972	3306	91
973	3309	88
974	3312	84
975	3315	81
976	3319	78
977	3322	74
978	3325	71
979	3328	67
980	3331	64
981	3336	61
982	3339	57
983	3342	54
984	3345	50
985	3348	47
986	3351	44
987	3354	40
988	3358	37
989	3362	33
990	3365	30
991	3368	27
992	3372	23
993	3375	20
994	3378	16
995	3382	13
996	3385	10
997	3388	6
998	3391	3
999	3394	0
